account_id,account_name,region,plan,monthly_spend_usd,api_calls_last_30d,csm_assigned,signup_date
ACC-1282,Customer 282,NA,Starter,10476.23,439646,Y,2023-07-26
ACC-1283,Customer 283,LATAM,Starter,23418.39,457831,N,2023-01-10
ACC-1284,Customer 284,NA,Growth,7149.81,336732,N,2024-09-15
ACC-1285,Customer 285,APAC,Starter,20229.91,173873,Y,2026-11-09
ACC-1286,Customer 286,EMEA,Starter,18428.62,415089,N,2024-03-20
ACC-1287,Customer 287,LATAM,Growth,12906.25,45975,N,2023-03-05
ACC-1288,Customer 288,LATAM,Growth,23398.84,4080,N,2026-04-15
ACC-1289,Customer 289,APAC,Growth,7583.55,379498,Y,2025-11-12
ACC-1290,Customer 290,EMEA,Starter,16711.26,244501,N,2024-07-22
ACC-1291,Customer 291,APAC,Enterprise,2979.52,480816,N,2025-10-08
ACC-1292,Customer 292,EMEA,Starter,11980.64,239039,N,2026-12-18
ACC-1293,Customer 293,LATAM,Enterprise,20059.78,433354,Y,2024-11-25
ACC-1294,Customer 294,NA,Enterprise,11196.36,369476,N,2023-10-04
ACC-1295,Customer 295,NA,Enterprise,22577.06,106488,Y,2024-06-28
ACC-1296,Customer 296,LATAM,Starter,17023.37,376371,N,2023-09-15
ACC-1297,Customer 297,NA,Growth,3342.01,218302,N,2023-09-15
ACC-1298,Customer 298,APAC,Enterprise,593.17,133908,Y,2024-10-03
ACC-1299,Customer 299,NA,Growth,8646.0,33928,Y,2023-08-02
ACC-1300,Customer 300,APAC,Growth,4540.53,71503,N,2025-07-15
